username,password,studentID,firstname,lastname,gender(0-male/1-female),DateofBirth(mm/dd/yyyy),socialID,CLASS
21140014,an562@KHTN,21140014,Huynh Dinh Gia,An,0,11/18/2002,75304018562,21CLC1
21140018,anh563@KHTN,21140018,Quan Vu Hoang,Anh,0,01/01/2002,75304018563,21CLC1
21140019,anh564@KHTN,21140019,Nguyen Truong Ngoc,Anh,1,09/07/2003,75304018564,21CLC1
21140021,binh565@KHTN,21140021,Nguyen Thuc Luong,Binh,0,12/19/2003,75304018565,21CLC1
21140023,cong566@KHTN,21140023,Nguyen Thanh,Cong,0,04/03/2001,75304018566,21CLC1
21140024,danh567@KHTN,21140024,Do Thanh,Danh,0,02/04/2002,75304018567,21CLC1
21140027,dong568@KHTN,21140027,Dam Chanh,Dong,1,04/22/2003,75304018568,21CLC1
21140032,giau569@KHTN,21140032,Cung Kim,Giau,0,07/22/2001,75304018569,21CLC1
21140033,ha570@KHTN,21140033,Nguyen Thi Thu,Ha,1,09/02/2001,75304018570,21CLC1
21140039,hoa571@KHTN,21140039,Pham Thanh,Hoa,0,02/19/2002,75304018571,21CLC1
21140044,hung572@KHTN,21140044,Phan Tan,Hung,0,05/05/2002,75304018572,21CLC1
21140046,huy573@KHTN,21140046,Nguyen Thi Kim,Huy,1,12/13/2003,75304018573,21CLC1
21140052,lam574@KHTN,21140052,Tran Mai,Lam,1,10/26/2002,75304018574,21CLC1
21140055,linh575@KHTN,21140055,Nguyen Ngoc Phuong,Linh,0,05/19/2001,75304018575,21CLC1
21140059,ly576@KHTN,21140059,Nguyen Thi Truc,Ly,0,07/18/2002,75304018576,21CLC1
21140060,anh577@KHTN,21140060,Vu Thi Mai,Anh,0,04/21/2002,75304018577,21CLC1
21140065,my578@KHTN,21140065,Tran Le Ha,My,0,11/06/2001,75304018578,21CLC1
21140067,ngan579@KHTN,21140067,Du Long,Ngan,1,08/02/2003,75304018579,21CLC1
21140069,ngan580@KHTN,21140069,Tran Ngoc Kim,Ngan,0,04/12/2003,75304018580,21CLC1
21140073,nguyen581@KHTN,21140073,Do Ky,Nguyen,0,11/11/2002,75304018581,21CLC1
21140081,nhu582@KHTN,21140081,Do Tam,Nhu,1,09/14/2001,75304018582,21CLC1
21140083,nhu583@KHTN,21140083,Pham Ngoc To,Nhu,1,06/22/2002,75304018583,21CLC1
21140084,nhu584@KHTN,21140084,Pham Thuy,Nhu,0,04/16/2001,75304018584,21CLC1
21140091,phuong585@KHTN,21140091,Dao Le Uyen,Phuong,0,10/07/2002,75304018585,21CLC1
21140094,qui586@KHTN,21140094,Pham Thi Nhu,Qui,0,02/11/2001,75304018586,21CLC1
21140097,quynh587@KHTN,21140097,Le Diem,Quynh,0,07/11/2001,75304018587,21CLC1
21140105,thao588@KHTN,21140105,Pham Kim,Thao,0,01/19/2003,75304018588,21CLC1
21140106,thao589@KHTN,21140106,Pham Thanh,Thao,1,07/04/2002,75304018589,21CLC1
21140107,thao590@KHTN,21140107,Vu Thanh,Thao,0,12/26/2002,75304018590,21CLC1
21140110,thien591@KHTN,21140110,Nguyen Phuc,Thien,1,07/02/2001,75304018591,21CLC1
21140111,tai592@KHTN,21140111,Tran Vuong Thien,Tai,1,07/21/2002,75304018592,21CLC1
21140112,thong593@KHTN,21140112,Sy Huu,Thong,1,06/11/2002,75304018593,21CLC1
21140113,thu594@KHTN,21140113,Nguyen Ngoc Minh,Thu,0,07/23/2002,75304018594,21CLC1
21140116,thy595@KHTN,21140116,Nguyen Dinh Uyen,Thy,0,11/14/2003,75304018595,21CLC1
21140124,truc596@KHTN,21140124,Phan Nguyen Thanh,Truc,1,08/15/2002,75304018596,21CLC1
21140129,tuyet597@KHTN,21140129,Nguyen Doanh Xuan,Tuyet,1,06/02/2003,75304018597,21CLC1
21140130,uyen598@KHTN,21140130,Vo Hoang Phuong,Uyen,1,11/05/2001,75304018598,21CLC1
21140134,vy599@KHTN,21140134,Pham Vo Thuy,Vy,0,10/24/2003,75304018599,21CLC1
21140135,xuyen600@KHTN,21140135,Ha My,Xuyen,0,04/16/2001,75304018600,21CLC1
21140137,yen601@KHTN,21140137,Tran Pham Hoang,Yen,1,09/11/2003,75304018601,21CLC1
21140140,thu602@KHTN,21140140,Trinh Tran Anh,Thu,0,06/10/2002,75304018602,21CLC1
21140142,an603@KHTN,21140142,Vu Le,An,0,03/09/2002,75304018603,21CLC1
21140143,anh604@KHTN,21140143,Le Quynh,Anh,1,04/06/2001,75304018604,21CLC1
21140146,anh605@KHTN,21140146,Nguyen Vy,Anh,1,04/16/2002,75304018605,21CLC1
21140155,binh606@KHTN,21140155,Mac Quang,Binh,0,11/28/2001,75304018606,21CLC1
21140163,dat607@KHTN,21140163,Tran Minh,Dat,0,12/21/2002,75304018607,21CLC1
21140167,dung608@KHTN,21140167,Truong My,Dung,1,08/18/2002,75304018608,21CLC1
21140178,giang609@KHTN,21140178,Pham Thi Truc,Giang,0,12/05/2001,75304018609,21CLC1
21140181,han610@KHTN,21140181,Nguyen Huynh Bao,Han,0,04/05/2001,75304018610,21CLC1
21140182,hanh611@KHTN,21140182,Ta Le Ngoc,Hanh,0,06/19/2001,75304018611,21CLC1
123456,Hop789@KHTN,123456,Le Quang,Hop,1,03/11/1999,123456789,21CLC1
21140183,hao612@KHTN,21140183,Huynh Ngoc,Hao,0,12/19/2002,75304018612,21CLC1
21140195,kha613@KHTN,21140195,Lam Vy,Kha,1,11/20/2003,75304018613,21CLC2
21140200,khoa614@KHTN,21140200,Le Nguyen Yen,Khoa,1,05/25/2003,75304018614,21CLC2
21140210,linh615@KHTN,21140210,Truong Tran Ngoc,Linh,0,11/13/2002,75304018615,21CLC2
21140212,long616@KHTN,21140212,Dinh Nam,Long,0,08/10/2003,75304018616,21CLC2
21140213,long617@KHTN,21140213,Tran Huynh,Long,1,06/20/2002,75304018617,21CLC2
21140216,minh618@KHTN,21140216,Le Dang,Minh,1,10/17/2003,75304018618,21CLC2
21140217,minh619@KHTN,21140217,Nguyen Gia,Minh,0,02/05/2002,75304018619,21CLC2
21140220,ngan620@KHTN,21140220,Pham Thanh,Ngan,1,04/05/2003,75304018620,21CLC2
21140225,nghia621@KHTN,21140225,Vo Duc Trong,Nghia,1,10/21/2003,75304018621,21CLC2
21140226,ngoc622@KHTN,21140226,Dang Huynh Kim,Ngoc,1,07/26/2001,75304018622,21CLC2
21140227,nguyen623@KHTN,21140227,Chiem Gia,Nguyen,1,10/25/2002,75304018623,21CLC2
21140233,nhan624@KHTN,21140233,Le Duc,Nhan,1,01/08/2001,75304018624,21CLC2
21140236,nhi625@KHTN,21140236,Mai Thi Yen,Nhi,1,08/23/2001,75304018625,21CLC2
21140245,oanh626@KHTN,21140245,Le Ngoc,Oanh,0,07/01/2003,75304018626,21CLC2
21140248,phuc627@KHTN,21140248,Le Truong,Phuc,1,01/27/2002,75304018627,21CLC2
21140252,quang628@KHTN,21140252,Tran Minh,Quang,1,01/01/2001,75304018628,21CLC2
21140254,quynh629@KHTN,21140254,Dao Duc Thuy,Quynh,1,07/25/2003,75304018629,21CLC2
21140257,quynh630@KHTN,21140257,Tran Duc,Quynh,1,10/04/2001,75304018630,21CLC2
21140258,quynh631@KHTN,21140258,Tran Phuong,Quynh,1,01/15/2002,75304018631,21CLC2
21140261,tam632@KHTN,21140261,Le Nguyen My,Tam,0,12/04/2003,75304018632,21CLC2
21140265,thanh633@KHTN,21140265,Huynh Thi Thuy,Thanh,0,08/24/2003,75304018633,21CLC2
21140266,thanh634@KHTN,21140266,Phan Thi Thu,Thanh,1,12/01/2002,75304018634,21CLC2
21140272,thao635@KHTN,21140272,Nguyen Phuong,Thao,0,07/17/2003,75304018635,21CLC2
21140273,thao636@KHTN,21140273,Nguyen Thi Phuong,Thao,1,07/12/2002,75304018636,21CLC2
21140276,thong637@KHTN,21140276,Huynh Le Ngoc,Thong,1,10/15/2002,75304018637,21CLC2
21140277,thu638@KHTN,21140277,Nguyen Thiet Minh,Thu,1,04/18/2001,75304018638,21CLC2
21140278,thu639@KHTN,21140278,Nguyen Tran Minh,Thu,0,04/12/2002,75304018639,21CLC2
21140282,thuy640@KHTN,21140282,Lai Le Nhu,Thuy,0,01/18/2003,75304018640,21CLC2
21140290,truc641@KHTN,21140290,Nguyen Thi Chanh,Truc,0,07/05/2001,75304018641,21CLC2
21140294,tuyen642@KHTN,21140294,Nguyen Thi Thanh,Tuyen,1,08/23/2002,75304018642,21CLC2
21140300,vy643@KHTN,21140300,Diep Thi Thuy,Vy,0,12/03/2002,75304018643,21CLC2
21140302,vy644@KHTN,21140302,Hoang Dieu Thao,Vy,0,05/11/2001,75304018644,21CLC2
21140306,y645@KHTN,21140306,Huynh Nhu,Y,1,02/17/2002,75304018645,21CLC2
21140312,bao646@KHTN,21140312,Vuong Gia,Bao,1,06/15/2003,75304018646,21CLC2
21140319,an647@KHTN,21140319,Nguyen Thi Quynh,An,1,11/12/2002,75304018647,21CLC2
21140321,anh648@KHTN,21140321,Do Hoai My,Anh,0,01/16/2001,75304018648,21CLC2
21140322,anh649@KHTN,21140322,Nguyen Duc,Anh,0,06/15/2001,75304018649,21CLC2
21140323,anh650@KHTN,21140323,Nguyen Thi Minh,Anh,1,08/05/2003,75304018650,21CLC2
21140326,ban651@KHTN,21140326,Tran,Ban,0,12/20/2003,75304018651,21CLC2
21140327,bao652@KHTN,21140327,Pham Thien,Bao,0,11/06/2003,75304018652,21CLC2
21140329,binh653@KHTN,21140329,Nguyen Duong An,Binh,0,06/17/2001,75304018653,21CLC2
21140330,chau654@KHTN,21140330,Nguyen Ngoc Minh,Chau,0,04/09/2003,75304018654,21CLC2
21140331,chi655@KHTN,21140331,Bui Phuoc,Chi,0,10/25/2001,75304018655,21CLC2
21140332,cung656@KHTN,21140332,Duong,Cung,1,11/28/2002,75304018656,21CLC2
21140333,cuong657@KHTN,21140333,Nguyen Nhat,Cuong,0,08/08/2002,75304018657,21CLC2
21140334,cuong658@KHTN,21140334,Trinh Manh,Cuong,0,12/12/2001,75304018658,21CLC2
21140336,dat659@KHTN,21140336,Nguyen Huu,Dat,0,03/24/2001,75304018659,21CLC2
21140357,huy660@KHTN,21140357,Dang Tran Quang,Huy,0,02/28/2003,75304018660,21CLC2
21140358,huy661@KHTN,21140358,Huynh Nhat,Huy,0,08/10/2002,75304018661,21CLC2
21140359,huy662@KHTN,21140359,Tran Van,Huy,1,02/22/2002,75304018662,21CLC2
21140360,huyen663@KHTN,21140360,Do Van,Huyen,1,01/25/2002,75304018663,21CLC2
21140361,huyen664@KHTN,21140361,Nguyen Khanh,Huyen,0,08/15/2002,75304018664,21CLC2
21140362,huyen665@KHTN,21140362,Nguyen Le Minh,Huyen,0,06/09/2003,75304018665,21CLC2
21140363,huyen666@KHTN,21140363,Vu Le Dieu,Huyen,0,10/22/2003,75304018666,21CLC2
21140364,hy667@KHTN,21140364,Dao Hoang Bach,Hy,0,06/03/2003,75304018667,21CLC2
21140365,khang668@KHTN,21140365,Le Nguyen Bao,Khang,0,01/04/2002,75304018668,21CLC2
21140368,lan669@KHTN,21140368,Nguyen Ngoc Quynh,Lan,0,07/25/2002,75304018669,21CLC2
21140369,linh670@KHTN,21140369,Cao Tu,Linh,1,09/08/2003,75304018670,21CLC2
21140371,linh671@KHTN,21140371,Tran Phuong,Linh,0,05/13/2001,75304018671,21CLC2
21140372,linh672@KHTN,21140372,Tran Thi Tu,Linh,0,07/06/2003,75304018672,21CLC2
21140373,loan673@KHTN,21140373,Thai Thi Cam,Loan,0,11/14/2002,75304018673,21CLC2
21140374,long674@KHTN,21140374,Ly Hoang,Long,0,07/08/2002,75304018674,21CLC3
21140375,minh675@KHTN,21140375,Tran Giang Duc,Minh,1,10/27/2002,75304018675,21CLC3
21140377,ngan676@KHTN,21140377,Bui Thi Thanh,Ngan,0,11/07/2002,75304018676,21CLC3
21140378,ngan677@KHTN,21140378,Mai Thi Kim,Ngan,1,08/11/2002,75304018677,21CLC3
21140380,ngan678@KHTN,21140380,Nguyen Ngoc Kim,Ngan,0,12/10/2003,75304018678,21CLC3
21140381,ngan679@KHTN,21140381,Nguyen Thoai,Ngan,0,08/07/2002,75304018679,21CLC3
21140384,ngoc680@KHTN,21140384,Do Le Bao,Ngoc,1,11/24/2003,75304018680,21CLC3
21140385,ngoc681@KHTN,21140385,Luong Nhu,Ngoc,0,11/16/2002,75304018681,21CLC3
21140387,nhan682@KHTN,21140387,Tran Dong Trung,Nhan,1,05/16/2001,75304018682,21CLC3
21140388,nhi683@KHTN,21140388,Bui Phuong,Nhi,0,10/16/2003,75304018683,21CLC3
21140389,nhi684@KHTN,21140389,Nguyen Thi Truc,Nhi,0,09/26/2002,75304018684,21CLC3
21140393,nhu685@KHTN,21140393,Nguyen Thi Huynh,Nhu,1,08/27/2003,75304018685,21CLC3
21140394,oanh686@KHTN,21140394,Le Hoang,Oanh,1,06/18/2003,75304018686,21CLC3
21140395,oanh687@KHTN,21140395,Nguyen Mai Hoang,Oanh,1,03/03/2002,75304018687,21CLC3
21140396,phong688@KHTN,21140396,Phan The,Phong,1,10/01/2002,75304018688,21CLC3
21140397,phu689@KHTN,21140397,Tran Van,Phu,0,12/25/2002,75304018689,21CLC3
21140399,phung690@KHTN,21140399,Huynh Phuong Song,Phung,0,11/07/2001,75304018690,21CLC3
21140400,phuoc691@KHTN,21140400,Trieu My,Phuoc,0,07/02/2002,75304018691,21CLC3
21140401,phuong692@KHTN,21140401,Nguyen Lan,Phuong,1,05/22/2001,75304018692,21CLC3
21140403,quan693@KHTN,21140403,Tran Minh,Quan,1,03/27/2002,75304018693,21CLC3
21140404,qui694@KHTN,21140404,Pham Luc Phu,Qui,1,07/02/2002,75304018694,21CLC3
21140405,quynh695@KHTN,21140405,Nguyen Thi Nhu,Quynh,1,08/24/2002,75304018695,21CLC3
21140406,sang696@KHTN,21140406,Pham Ba Minh,Sang,1,06/08/2002,75304018696,21CLC3
21140408,tam697@KHTN,21140408,Tran Nguyen Tue,Tam,0,11/11/2001,75304018697,21CLC3
21140409,thang698@KHTN,21140409,Phan Duy,Thang,0,11/20/2003,75304018698,21CLC3
21140410,thanh699@KHTN,21140410,Pham Tran Thien,Thanh,1,06/12/2002,75304018699,21CLC3
21140411,thao700@KHTN,21140411,Tran Xuan,Thao,1,02/23/2001,75304018700,21CLC3
21140412,thao701@KHTN,21140412,Hoang Thi Thu,Thao,0,01/17/2001,75304018701,21CLC3
21140413,thao702@KHTN,21140413,Nguyen Phuong,Thao,1,10/17/2001,75304018702,21CLC3
21147008,khang703@KHTN,21147008,Huynh Tran Tuan,Khang,1,05/26/2001,75304018703,21CLC3
21147010,kim704@KHTN,21147010,Nguyen Ngoc Thien,Kim,0,07/24/2003,75304018704,21CLC3
21147013,minh705@KHTN,21147013,Hang Thuy Van,Minh,0,11/21/2001,75304018705,21CLC3
21147017,nha706@KHTN,21147017,Phan Nguyen Thanh,Nha,0,07/24/2003,75304018706,21CLC3
21147020,phung707@KHTN,21147020,Ly The,Phung,1,01/06/2002,75304018707,21CLC3
21147025,vy708@KHTN,21147025,Nguyen Duong Thao,Vy,0,11/20/2001,75304018708,21CLC3
21147027,anh709@KHTN,21147027,Doan Vo Nhat,Anh,0,05/23/2002,75304018709,21CLC3
21147029,anh710@KHTN,21147029,Tran Ngoc,Anh,0,05/28/2001,75304018710,21CLC3
21147033,cong711@KHTN,21147033,Bui Thanh,Cong,1,09/19/2001,75304018711,21CLC3
21147036,dong712@KHTN,21147036,Nguyen Dat,Dong,0,02/22/2002,75304018712,21CLC3
21147038,duong713@KHTN,21147038,Vo Thuy,Duong,0,01/06/2002,75304018713,21CLC3
21147045,hau714@KHTN,21147045,Nguyen Tien,Hau,0,11/11/2003,75304018714,21CLC3
21147049,khanh715@KHTN,21147049,Nguyen Gia,Khanh,0,10/15/2002,75304018715,21CLC3
