username,password,studentID,firstname,lastname,gender(0-male/1-female),DateofBirth(mm/dd/yyyy),socialID,CLASS
21140014,an562@KHTN,21140014,Huynh Dinh Gia,An,0,11/18/2002,75304018562,22CLC2
21140018,anh563@KHTN,21140018,Quan Vu Hoang,Anh,0,01/01/2002,75304018563,22CLC2
21140019,anh564@KHTN,21140019,Nguyen Truong Ngoc,Anh,1,09/07/2003,75304018564,22CLC2
21140021,binh565@KHTN,21140021,Nguyen Thuc Luong,Binh,0,12/19/2003,75304018565,22CLC2
21140023,cong566@KHTN,21140023,Nguyen Thanh,Cong,0,04/03/2001,75304018566,22CLC2
21140024,danh567@KHTN,21140024,Do Thanh,Danh,0,02/04/2002,75304018567,22CLC2
21140027,dong568@KHTN,21140027,Dam Chanh,Dong,1,04/22/2003,75304018568,22CLC2
21140032,giau569@KHTN,21140032,Cung Kim,Giau,0,07/22/2001,75304018569,22CLC2
21140033,ha570@KHTN,21140033,Nguyen Thi Thu,Ha,1,09/02/2001,75304018570,22CLC2
21140039,hoa571@KHTN,21140039,Pham Thanh,Hoa,0,02/19/2002,75304018571,22CLC2
21140044,hung572@KHTN,21140044,Phan Tan,Hung,0,05/05/2002,75304018572,22CLC2
21140046,huy573@KHTN,21140046,Nguyen Thi Kim,Huy,1,12/13/2003,75304018573,22CLC2
21140052,lam574@KHTN,21140052,Tran Mai,Lam,1,10/26/2002,75304018574,22CLC2
21140055,linh575@KHTN,21140055,Nguyen Ngoc Phuong,Linh,0,05/19/2001,75304018575,22CLC2
21140059,ly576@KHTN,21140059,Nguyen Thi Truc,Ly,0,07/18/2002,75304018576,22CLC2
21140060,anh577@KHTN,21140060,Vu Thi Mai,Anh,0,04/21/2002,75304018577,22CLC2
21140065,my578@KHTN,21140065,Tran Le Ha,My,0,11/06/2001,75304018578,22CLC2
21140067,ngan579@KHTN,21140067,Du Long,Ngan,1,08/02/2003,75304018579,22CLC2
21140069,ngan580@KHTN,21140069,Tran Ngoc Kim,Ngan,0,04/12/2003,75304018580,22CLC2
21140073,nguyen581@KHTN,21140073,Do Ky,Nguyen,0,11/11/2002,75304018581,22CLC2
21140081,nhu582@KHTN,21140081,Do Tam,Nhu,1,09/14/2001,75304018582,22CLC2
21140083,nhu583@KHTN,21140083,Pham Ngoc To,Nhu,1,06/22/2002,75304018583,22CLC2
21140084,nhu584@KHTN,21140084,Pham Thuy,Nhu,0,04/16/2001,75304018584,22CLC2
21140091,phuong585@KHTN,21140091,Dao Le Uyen,Phuong,0,10/07/2002,75304018585,22CLC2
21140094,qui586@KHTN,21140094,Pham Thi Nhu,Qui,0,02/11/2001,75304018586,22CLC2
21140097,quynh587@KHTN,21140097,Le Diem,Quynh,0,07/11/2001,75304018587,22CLC2
21140105,thao588@KHTN,21140105,Pham Kim,Thao,0,01/19/2003,75304018588,22CLC2
